"Education","South","Sex","Experience","Wage","Age","Race","Occupation","Sector","Marr","Union","Children"
12,"Y","F",9,3.95,27,"W","Service","Other","Married","N",5
11,"Y","M",18,13,35,"W","Service","Other","Married","Y",5
12,"N","M",10,9,28,"W","Service","Other","Married","N",5
NA,"Y","F",45,4.55,59,"W","Service","Other","Single","N",NA
9,"N","F",999,9.5,61,"W","Service","Other","Married","Y",5
7,"Y","M",14,4.5,27,"H","Service","Other","Married","N",5
11,"N","F",36,8.75,53,"W","Service","Other","Single","N",NA
13,"N","M",34,10,53,"W","Professional","Construction","Married","Y",5
18,"N","M",15,18,39,"W","Professional","Other","Married","N",5
17,"N","M",31,24.98,54,"W","Professional","Manufacturing","Married","N",5
16,"N","F",6,12.05,28,"W","Professional","Manufacturing","Single","N",NA
14,"Y","M",15,22,35,"W","Professional","Other","Married","N",5
12,"N","M",30,8.75,48,"W","Professional","Other","Married","N",5
18,"N","M",8,22.2,32,"W","Professional","Other","Married","N",5
18,"N","M",5,17.25,29,"W","Professional","Manufacturing","Married","N",5
17,"N","F",3,6,26,"W","Professional","Other","Single","Y",NA
13,"Y","M",17,8.06,36,"W","Professional","Other","Married","N",5
16,"N","M",5,9.24,27,"O","Professional","Manufacturing","Married","Y",5
14,"N","F",10,12,30,"W","Professional","Other","Married","N",5
15,"N","F",33,10.61,54,"W","Professional","Other","Single","N",NA
NA,"N","M",3,5.71,27,"W","Professional","Other","Married","N",5
16,"N","F",0,10,18,"W","Professional","Other","Single","N",NA
16,"Y","M",13,17.5,35,"O","Professional","Other","Married","N",5
18,"N","M",12,15,36,"W","Professional","Other","Married","N",5
16,"N","F",6,7.78,28,"W","Professional","Other","Married","N",5
17,"N","M",7,7.8,30,"W","Professional","Other","Married","N",5
16,"Y","M",14,10,36,"W","Professional","Other","Married","Y",5
17,"N","F",5,24.98,28,"W","Professional","Other","Single","N",NA
15,"Y","F",10,10.28,31,"W","Professional","Other","Married","N",5
18,"N","F",11,15,35,"W","Professional","Other","Married","N",5
NA,"N","F",24,12,47,"W","Professional","Other","Married","N",5
16,"N","M",9,10.58,31,"W","Professional","Manufacturing","Single","N",NA
18,"Y","M",12,5.85,36,"W","Professional","Other","Married","N",5
18,"N","M",19,11.22,43,"W","Professional","Other","Married","N",5
14,"N","F",14,8.56,34,"W","Professional","Other","Married","N",5
16,"N","F",999,13.89,39,"W","Professional","Manufacturing","Single","N",NA
18,"Y","M",7,5.71,31,"W","Professional","Other","Single","N",NA
18,"N","M",7,15.79,31,"W","Professional","Other","Married","N",5
16,"NULL","F",22,7.5,44,NA,"Professional","Other","Married","N",5
12,"N","F",28,11.25,46,"W","Professional","Other","Married","N",5
16,"N","F",16,6.15,38,"W","Professional","Other","Single","N",NA
16,"Y","M",16,13.45,38,"O","Professional","Other","Single","N",NA
16,"N","F",7,6.25,29,"W","Professional","Other","Married","N",5
12,"N","F",11,6.5,29,"W","Professional","Other","Single","N",NA
12,"N","F",11,12,29,"W","Professional","Other","Married","N",5
12,"N","F",999,8.5,34,"W","Professional","Other","Single","N",NA
18,"N","M",33,8,57,"W","Professional","Other","Single","Y",NA
12,"Y","F",21,5.75,39,"W","Professional","Other","Married","N",5
16,"N","M",4,15.73,26,"W","Professional","Manufacturing","Married","N",5
15,"N","M",13,9.86,34,"W","Professional","Other","Married","N",5
18,"N","M",14,13.51,38,"W","Professional","Other","Married","Y",5
16,"N","F",10,5.4,32,"W","Professional","Other","Married","N",5
18,"Y","M",14,6.25,38,"W","Professional","Other","Married","N",5
16,"Y","M",29,5.5,51,"W","Professional","Other","Married","N",5
12,"N","M",4,5,22,"H","Professional","Other","Single","N",NA
NA,"N","M",27,6.25,51,"O","Professional","Other","Married","N",5
12,"N","M",3,5.75,21,"W","Professional","Other","Married","N",5
16,"Y","M",14,20.5,36,"W","Professional","Other","Married","Y",5
14,"N","M",0,5,20,"W","Professional","Construction","Married","N",5
18,"N","M",999,7,57,"W","Professional","Other","Married","N",5
16,"Y","M",38,18,60,"W","Professional","Other","Married","N",5
18,"N","F",18,12,42,"W","Professional","Other","Married","Y",5
17,"N","M",3,20.4,26,"W","Professional","Manufacturing","Single","N",NA
18,"N","F",40,22.2,64,"W","Professional","Other","Single","N",NA
14,"N","M",19,16.42,39,"W","Professional","Manufacturing","Single","N",NA
14,"N","F",999,8.63,24,"W","Professional","Other","Single","N",NA
16,"N","F",11,19.38,33,"W","Professional","Other","Married","N",5
16,"N","F",16,14,38,"W","Professional","Other","Married","N",5
14,"N","M",999,10,42,"W","Professional","Other","Married","N",5
17,"N","F",13,15.95,36,"W","Professional","Other","Single","Y",NA
16,"Y","F",999,20,50,"W","Professional","Other","Married","Y",5
16,"N","F",10,10,32,"W","Professional","Other","Married","N",5
16,"Y","F",5,24.98,27,"W","Professional","Other","Single","N",NA
15,"N","M",5,11.25,26,"W","Professional","Other","Single","N",NA
18,"N","F",999,22.83,61,"W","Professional","Manufacturing","Single","N",NA
17,"N","F",999,10.2,49,"W","Professional","Other","Married","Y",5
16,"Y","F",4,10,26,"W","Professional","Other","Married","N",5
18,"N","F",31,14,55,"W","Professional","Other","Single","Y",NA
17,"N","F",13,12.5,36,"W","Professional","Other","Married","Y",5
12,"N","F",42,5.79,60,"W","Professional","Other","Married","N",5
17,"N","M",999,24.98,41,"H","Professional","Other","Married","N",5
12,"N","F",3,4.35,21,"W","Professional","Other","Married","N",5
17,"N","F",10,11.25,33,"W","Professional","Other","Single","N",NA
NA,"N","F",10,6.67,32,"W","Professional","Other","Single","Y",NA
16,"N","F",17,8,39,"H","Professional","Other","Married","N",5
18,"N","M",7,18.16,31,"W","Professional","Other","Married","N",5
16,"N","F",14,12,36,"W","Professional","Other","Married","N",5
16,"N","F",22,8.89,44,"W","Professional","Other","Married","Y",5
NA,"N","F",14,9.5,37,"W","Professional","Other","Married","N",5
16,"N","M",11,13.65,33,"W","Professional","Other","Married","N",5
18,"N","M",23,12,47,"W","Professional","Other","Married","Y",5
12,"N","M",39,15,57,"W","Professional","Other","Married","Y",5
16,"N","M",15,12.67,37,"W","Professional","Other","Married","N",5
14,"N","F",15,7.38,35,"H","Professional","Other","Single","N",NA
NA,"N","M",10,15.56,32,"W","Professional","Other","Single","N",NA
12,"Y","F",25,7.45,43,"W","Professional","Other","Single","N",NA
14,"N","F",12,6.25,32,"W","Professional","Other","Married","N",5
16,"Y","F",7,6.25,29,"H","Professional","Other","Married","N",5
17,"N","M",7,9.37,30,"W","Professional","Other","Married","Y",5
16,"N","M",17,22.5,39,"W","Professional","Manufacturing","Married","N",5
16,"N","M",10,7.5,32,"W","Professional","Other","Married","Y",5
17,"Y","M",2,7,25,"W","Professional","Other","Married","N",5
9,"Y","F",34,5.75,49,"O","Professional","Other","Married","Y",5
15,"NULL","F",11,7.67,32,NA,"Professional","Other","Married","N",5
15,"N","M",10,12.5,31,"W","Professional","Other","Single","N",NA
12,"Y","M",12,16,30,"W","Professional","Other","Married","N",5
16,"N","F",6,11.79,28,"W","Professional","Other","Single","Y",NA
18,"N","M",5,11.36,29,"W","Professional","Other","Single","N",NA
12,"N","F",33,6.1,51,"O","Professional","Other","Married","N",5
17,"N","F",25,23.25,48,"O","Professional","Other","Married","Y",5
12,"Y","M",13,19.88,31,"W","Professional","Other","Married","Y",5
16,"N","M",33,15.38,55,"W","Professional","Manufacturing","Married","N",5
